room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
13161524,1076,23226762,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,8,4.0,,881.0,,Exclusive apartment in Diagonal Mar,2017-04-15 22:23:09.811897,41.40912,2.209039,0101000020E610000057B5A4A31CAC0140DC114E0B5EB44440
17874830,1076,9025180,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,10,4.0,,838.0,,Yatch Charter with 4 hours tour included,2017-04-15 22:23:08.587975,41.409875,2.217386,0101000020E6100000B5DD04DF34BD01405839B4C876B44440
714400,1076,2579651,Entire home/apt,,Barcelona,,Eixample,15,4.5,6,3.0,,985.0,,AMAZING 3 Bedroom Sagrada Familia,2017-04-15 22:23:08.583775,41.40259,2.172379,0101000020E61000003123BC3D086101402BD9B11188B34440
10028267,1076,1404293,Entire home/apt,,Barcelona,,Sant Martí,3,4.5,8,4.0,,985.0,,Yacht in Barcelona by the beach,2017-04-15 22:23:08.579648,41.383773,2.199398,0101000020E61000003B1A87FA5D9801403D0B42791FB14440
16476272,1076,28850768,Entire home/apt,,Barcelona,,Ciutat Vella,1,0.0,8,4.0,,907.0,,Tiles and Modern Design,2017-04-15 22:23:08.574812,41.384141,2.173739,0101000020E61000006551D845D1630140C00644882BB14440
18205312,1076,26165888,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,6,2.0,,755.0,,Seafront  with private terrace,2017-04-15 22:23:08.567497,41.406596,2.216999,0101000020E61000001D1EC2F869BC01409B5775560BB44440
732353,1076,2579651,Entire home/apt,,Barcelona,,Eixample,22,4.0,6,3.0,,985.0,,OMG apartment with SPA included,2017-04-15 22:23:08.564595,41.402834,2.171567,0101000020E61000002995F0845E5F0140C2DB831090B34440
6521088,1076,34104245,Entire home/apt,,Barcelona,,Eixample,1,0.0,10,5.0,,810.0,,Luxury 5 bedroom Apartment Po. de Gracia Barcelona,2017-04-15 22:23:08.561696,41.395291,2.159855,0101000020E61000000FD1E80E624701409AB33EE598B24440
17628666,1076,4459553,Entire home/apt,,Barcelona,,Sants-Montjuïc,1,0.0,9,5.0,,765.0,,1916 - AB Paral.lel Spacious Apartments E,2017-04-15 22:23:08.559372,41.374115,2.167285,0101000020E610000011E4A08499560140B6F81400E3AF4440
16079084,1076,61360206,Entire home/apt,,Barcelona,,Eixample,0,0.0,8,3.0,,919.0,,Double Luxury Penthouses,2017-04-15 22:23:08.556514,41.392033,2.174227,0101000020E61000003CA41820D1640140F4F928232EB24440
2144561,1076,135703,Entire home/apt,,Barcelona,,Eixample,7,5.0,16,10.0,,788.0,,Sagrada Familia area for 34 people,2017-04-15 22:23:08.554148,41.398835,2.178682,0101000020E61000002B1213D4F06D014005C078060DB34440
267816,1076,1404293,Entire home/apt,,Barcelona,,Ciutat Vella,9,5.0,10,4.0,,985.0,,Luxury Yacht Barcelona Port Olimpic,2017-04-15 22:23:08.548397,41.379004,2.183269,0101000020E61000000AF7CABC55770140CF86FC3383B04440
15395174,1076,8937674,Entire home/apt,,Barcelona,,Gràcia,0,0.0,2,1.0,,820.0,,Terraza con vistas y chill out para grupos/eventos,2017-04-15 22:23:08.545525,41.401901,2.156541,0101000020E610000076DD5B9198400140679DF17D71B34440
777476,1076,2439400,Entire home/apt,,Barcelona,,Eixample,7,4.0,16,7.0,,765.0,,Cataluña luxury,2017-04-15 22:23:08.539630,41.384081,2.161267,0101000020E61000006B64575A464A0140EB01F39029B14440
18069045,1076,4459553,Entire home/apt,,Barcelona,,Eixample,0,0.0,9,4.0,,820.0,,1604 - AB Bailén 1-2A,2017-04-15 22:23:08.537025,41.397099,2.171151,0101000020E6100000EC6B5D6A845E01401C23D923D4B24440
5767967,1076,2151490,Entire home/apt,,Barcelona,,Ciutat Vella,9,4.0,16,6.0,,820.0,,Triplex Pelayo Deluxe - BCN54,2017-04-15 22:23:06.976671,41.384707,2.16538,0101000020E6100000C24CDBBFB252014069C537143EB14440
705086,1076,2579651,Entire home/apt,,Barcelona,,Horta-Guinardó,4,2.0,4,2.0,,765.0,,2 Bedrooms 2 baths Sant Pau,2017-04-15 22:23:06.971637,41.416349,2.174947,0101000020E61000003944DC9C4A660140745C8DEC4AB54440
